d,l,nc,w,association,birth_date,class,country,dob,fname,height1,height2,lname,locality,name1,nick1,nick2,reach,sapm,slpm,stance,str_acc,str_def,sub_avg,td_acc,td_avg,td_def,weight1,weight2
0,10,,15,Xtreme Couture,1976-05-05,Middleweight,United States,1976-05-05,Alex,75.0,75.0,Schoenauer,"Las Vegas, Nevada",Alex Schoenauer,,,,2.27,1.22,Orthodox,0.4,0.42,4.9,0.0,0.0,0.22,185.0,185.0
0,3,,3,Jackson-Wink MMA,1981-07-14,Strawweight,United States,1981-07-14,Emily,63.0,63.0,Peters Kagan,"Albuquerque, New Mexico",Emily Peters Kagan,,,66.0,5.29,2.6,,0.36,0.38,0.0,0.14,1.86,0.5,115.0,115.0
0,2,,7,Team Nogueira,1989-03-05,Strawweight,Brazil,1989-03-05,Ericka,66.0,66.0,Almeida,"Sorocaba, Sao Paulo",Ericka Almeida,,,68.0,3.33,1.07,,0.39,0.43,0.0,0.33,0.5,0.37,115.0,115.0
0,11,,24,BTT Canada,1980-02-29,Welterweight,Canada,1980-02-29,Patrick,71.0,71.0,Cote,"Quebec City, Quebec",Patrick Cote,The Predator,The Predator,71.0,3.21,2.81,Orthodox,0.48,0.48,0.2,0.2,0.68,0.43,170.0,170.0
1,15,,35,Team Curran,1977-09-02,Bantamweight,United States,1977-09-02,Jeff,66.0,66.0,Curran,"Crystal Lake, Illinois",Jeff Curran,Big Frog,Big Frog,69.0,2.48,1.54,Orthodox,0.31,0.6,1.2,0.12,0.35,0.35,135.0,135.0
1,14,,29,Jackson-Wink MMA,1980-12-09,Lightweight,United States,1980-12-09,Aaron,68.0,69.0,Riley,"Tell City, Indiana",Aaron Riley,,,69.0,3.78,3.45,Southpaw,0.34,0.61,0.1,0.34,1.18,0.6,155.0,155.0
0,4,,17,,,Welterweight,United States,1975-12-04,Julio,72.0,72.0,Paulino,"Anchorage, Alaska",Julio Paulino,The Dominican Demon,Dominican Demon,,1.87,0.97,Orthodox,0.27,0.48,0.5,0.0,0.0,0.37,170.0,170.0
0,4,,9,Marc Laimon's Cobra Kai,1983-05-25,Flyweight,United States,1983-05-25,Ulysses,66.0,65.0,Gomez,"Las Vegas, Nevada",Ulysses Gomez,Useless,Useless,66.0,3.57,2.72,Orthodox,0.25,0.68,0.0,0.0,0.0,0.0,125.0,125.0
0,7,,12,American Top Team,1984-11-05,Welterweight,United States,1984-11-05,Ryan,72.0,72.0,Thomas,"Danville, Illinois",Ryan Thomas,The Tank Engine,The Tank Engine,,4.17,2.01,Orthodox,0.36,0.3,2.2,0.33,5.59,0.0,170.0,170.0
0,1,,4,Impact MMA Singapore,1986-11-15,,Singapore,1986-11-15,Royston,67.0,67.0,Wee,,Royston Wee,,,67.0,2.45,1.1,Orthodox,0.6,0.49,0.0,0.81,3.38,0.0,135.0,137.0
0,5,,7,Victory Athletics,1986-10-13,,United States,1986-10-13,John,68.0,69.0,Albert,"Puyallup, Washington",John Albert,Prince,Prince,68.0,2.82,3.05,,0.49,0.35,6.1,0.0,0.0,0.5,135.0,137.0
0,8,,19,Philadelphia Fight Factory,1982-06-30,Flyweight,United States,1983-04-19,Zach,64.0,64.0,Makovsky,"Bethlehem, Pennsylvania",Zach Makovsky,Fun Size,Fun Size,64.0,2.24,1.94,Southpaw,0.43,0.62,0.3,0.3,3.71,0.56,125.0,125.0
1,8,,16,Glory MMA and Fitness,1986-12-24,Flyweight,United States,1986-12-24,Tim,67.0,67.0,Elliott,"Lee's Summit, Missouri",Tim Elliott,,,66.0,2.3,3.41,Southpaw,0.45,0.62,1.4,0.65,4.26,0.5,135.0,125.0
1,4,,18,Jackson-Wink MMA,1987-10-12,Welterweight,Russia,1987-10-12,Omari,72.0,72.0,Akhmedov,"Makhachkala, Dagestan",Omari Akhmedov,Wolverine,Wolverine,73.0,2.89,3.07,Orthodox,0.34,0.57,0.3,0.48,2.51,0.58,185.0,170.0
0,8,,15,X-Gym,1981-01-25,Welterweight,Brazil,1981-01-25,Paulo,71.0,71.0,Thiago,"Brasilia, Federal District",Paulo Thiago,,,73.0,1.99,1.71,Orthodox,0.39,0.63,1.2,0.31,1.42,0.63,170.0,170.0
0,3,,4,Kings MMA,1988-05-17,Flyweight,United States,1988-05-17,Nolan,66.0,66.0,Ticman,"Palm Springs, California",Nolan Ticman,,,69.0,2.53,2.57,Orthodox,0.47,0.67,0.0,0.0,0.0,0.6,125.0,125.0
0,5,,9,Blackzilians,1978-07-15,Heavyweight,United States,1978-07-15,Matt,75.0,75.0,Mitrione,"Indianapolis, Indiana",Matt Mitrione,,Meathead,79.0,2.79,3.55,Switch,0.5,0.64,0.7,0.0,0.0,0.55,265.0,255.0
0,4,,9,Mass BJJ,1985-09-22,Middleweight,United States,1985-09-22,Chuck,74.0,74.0,O'Neil,"Bourne, Massachusetts",Chuck O'Neil,Cold Steel,Cold Steel,,4.4,3.13,,0.37,0.72,0.0,0.0,0.0,0.0,170.0,185.0
0,3,,8,,1979-07-24,Featherweight,United States,1979-07-24,Mike,68.0,68.0,Lullo,"Schaumburg, Illinois",Mike Lullo,,,,4.84,2.48,Orthodox,0.36,0.4,0.6,0.11,1.18,0.0,145.0,145.0
0,7,,16,Evolve MMA,1986-09-06,Welterweight,Belgium,1986-09-06,Tarec,70.0,69.0,Saffiedine,,Tarec Saffiedine,Sponge,Sponge,70.0,3.06,4.05,Switch,0.47,0.62,0.1,0.36,0.52,0.84,170.0,169.0
0,2,,5,Team Victory,,Welterweight,United States,1981-10-19,Gilbert,69.0,69.0,Smith,"Colorado Springs, Colorado",Gilbert Smith,,Midnight Magic,75.0,2.73,1.09,Southpaw,0.41,0.35,1.2,0.6,3.51,0.0,185.0,170.0
0,3,,6,Finney's HIT Squad,1988-04-04,Middleweight,United States,1988-04-04,Dustin,76.0,76.0,Jacoby,"Arenzville, Illinois",Dustin Jacoby,,,78.0,2.65,1.5,Orthodox,0.25,0.61,0.0,0.0,0.0,0.28,185.0,185.0
0,6,1.0,14,Strong Style Fight Team,1986-07-27,Bantamweight,United States,1986-07-27,Jessica,66.0,66.0,Eye,"Cleveland, Ohio",Jessica Eye,Evil,Evil,66.0,3.43,3.63,Orthodox,0.36,0.6,0.7,0.5,0.53,0.6,125.0,135.0
0,2,,5,,,Welterweight,Northern Ireland,,Stevie,70.0,70.0,Lynch,Antrim,Stevie Lynch,,,,7.06,2.47,Orthodox,0.25,0.41,0.0,0.0,0.0,0.0,170.0,170.0
0,5,1.0,20,Team Tiger Schulmann,1985-05-26,Welterweight,United States,1985-05-26,Lyman,72.0,72.0,Good,"New York City, New York",Lyman Good,Cyborg,Cyborg,74.0,4.14,5.18,Orthodox,0.48,0.66,0.0,1.0,0.54,0.72,170.0,170.0
0,3,,8,Delincuentes MMA,,Bantamweight,Mexico,1990-07-28,Jose,68.0,68.0,Quinonez,"Tlaltenango de Sanchez Roman, Zacatecas",Jose Quinonez,Teco,El Teco,69.0,2.49,3.38,,0.46,0.67,0.8,0.46,2.77,0.5,135.0,135.0
0,3,,3,Tata Fight Team,1987-02-07,Middleweight,Brazil,1987-02-07,Wagner,72.0,72.0,Silva,"Vicosa, Minas Gerais",Wagner Silva,Wagnao,Wagnao,71.0,2.87,1.69,Orthodox,0.29,0.65,0.0,0.0,0.0,0.58,170.0,185.0
2,9,1.0,32,American Top Team,1984-08-13,Featherweight,United States,1984-08-13,Nik,68.0,68.0,Lentz,"St. Paul, Minnesota",Nik Lentz,The Carny,The Carny,68.0,3.03,3.49,Orthodox,0.5,0.5,1.3,0.34,3.58,0.44,155.0,145.0
0,7,,13,Sacramaneto BJJ,1977-03-16,Heavyweight,United States,1977-03-13,Brad,79.0,79.0,Imes,"Sacramento, California",Brad Imes,Hillbilly Heartthrob,The Hillbilly Heartthrob,,4.24,2.73,Orthodox,0.31,0.49,1.0,0.71,1.72,0.0,265.0,260.0
0,6,,13,FightFit Militia,1982-01-09,Middleweight,South Africa,1982-09-01,Garreth,73.0,73.0,McLellan,"Johannesburg, Gauteng",Garreth McLellan,Soldier Boy,Soldier Boy,72.0,2.94,3.56,Southpaw,0.54,0.45,0.9,0.22,1.15,0.34,185.0,185.0
0,7,1.0,30,Team Extreme,1974-03-05,Heavyweight,United States,1976-03-05,Tim,80.0,80.0,Sylvia,"Bettendorf, Iowa",Tim Sylvia,The Maine-iac,The Maine-iac,80.0,2.61,4.23,Orthodox,0.41,0.61,0.1,1.0,0.11,0.75,265.0,265.0
0,2,,4,Disorderly Conduct,1987-04-26,Middleweight,United States,1981-04-26,Brian,74.0,73.0,Houston,"Omaha, Nebraska",Brian Houston,B-Hue,B-Hue,78.0,3.67,1.9,Orthodox,0.35,0.53,0.0,1.0,0.95,0.87,185.0,185.0
0,3,,7,Team Link,1986-07-07,Welterweight,United States,1986-07-07,Jon,73.0,72.0,Manley,"Adams, Massachusetts",Jon Manley,,,75.0,4.33,1.13,Orthodox,0.2,0.45,0.0,0.07,1.0,0.2,170.0,170.0
0,20,1.0,33,Dungeon MMA,,Light Heavyweight,United States,1979-08-16,Ron,69.0,69.0,Faircloth,"Stoughton, Wisconsin",Ron Faircloth,,,,8.9,0.39,Orthodox,0.4,0.42,0.0,0.0,0.0,0.0,205.0,205.0
0,12,1.0,33,Team Quest,1986-05-06,Middleweight,United States,1986-05-06,Sam,74.0,74.0,Alvey,"Waterford, Wisconsin",Sam Alvey,Smile'N,Smile'n,75.0,3.28,3.17,Southpaw,0.45,0.55,0.1,0.2,0.1,0.84,205.0,185.0
1,4,,28,,1965-02-24,Light Heavyweight,Netherlands,1965-02-24,Bas,73.0,73.0,Rutten,Eindhoven,Bas Rutten,El Guapo,El Guapo,,2.06,5.59,Orthodox,0.61,0.79,0.0,0.0,0.0,0.0,205.0,205.0
0,17,1.0,29,The Pit Elevated Fight Team,1980-10-04,Lightweight,United States,1980-04-10,Joshua,70.0,70.0,Burkman,"Salt Lake City, Utah",Joshua Burkman,The People's Warrior,The People's Warrior,72.0,3.13,2.69,Orthodox,0.43,0.51,0.3,0.36,2.53,0.72,170.0,155.0
0,6,,12,Tristar Gym,,Welterweight,Canada,1978-02-14,Steve,70.0,70.0,Vigneault,"Iles de la Madeleine, Quebec",Steve Vigneault,Lionheart,Lion Heart,,5.75,2.19,Orthodox,0.28,0.44,0.0,0.0,0.0,1.0,185.0,169.0
1,5,,10,Blackzillians,1985-02-12,Lightweight,Cuba,1985-02-12,Yosdenis,68.0,68.0,Cedeno,Havana,Yosdenis Cedeno,Pink Panther,Pink Panther,69.0,1.6,1.64,Orthodox,0.29,0.67,0.3,0.0,0.0,0.31,155.0,155.0
0,2,,11,,1982-11-23,Lightweight,United States,1982-11-23,Vinc,70.0,70.0,Pichel,"Simi Valley, California",Vinc Pichel,From Hell,From Hell,72.0,2.67,3.12,Orthodox,0.42,0.54,0.2,0.62,4.25,0.2,155.0,155.0
0,4,,17,Power MMA,1988-10-31,Lightweight,United States,1988-10-31,Myles,70.0,71.0,Jury,"Hazel Park, Michigan",Myles Jury,Fury,Fury,73.0,2.16,2.94,Orthodox,0.42,0.66,0.3,0.55,2.16,0.5,145.0,155.0
0,5,,18,Allstars Training Center,1987-01-15,Light Heavyweight,Sweden,1987-01-15,Alexander,77.0,76.0,Gustafsson,"Stockholm, Stockholm County",Alexander Gustafsson,The Mauler,The Mauler,79.0,3.51,4.01,Orthodox,0.39,0.51,0.5,0.4,1.63,0.84,205.0,205.0
0,3,,3,,1982-09-10,Lightweight,United States,1982-09-01,Matt,70.0,72.0,Arroyo,"Cobleskill, New York",Matt Arroyo,No Regard,No Regard,72.0,2.01,1.62,Orthodox,0.47,0.58,5.3,0.36,2.12,1.0,170.0,155.0
0,9,1.0,19,Team Nogueira,1984-06-21,Welterweight,Brazil,1984-06-21,Erick,72.0,71.0,Silva,"Vila Velha, Espirito Santo",Erick Silva,The Tiger,The Tiger,74.0,4.18,2.5,Orthodox,0.48,0.49,1.4,0.35,0.85,0.56,170.0,170.0
0,2,,4,Lakay MMA,1990-12-04,Flyweight,Philippines,1990-12-04,Roldan,64.0,64.0,Sangcha-an,"Baguio, Cordillera Administrative Region",Roldan Sangcha-an,The Executioner,The Executioner,65.0,2.15,2.71,Orthodox,0.46,0.51,0.0,0.6,1.94,0.68,125.0,125.0
0,9,1.0,20,MidAmerica Martial Arts,1988-10-19,Lightweight,United States,1988-10-19,Drew,68.0,68.0,Dober,"Omaha, Nebraska",Drew Dober,,,70.0,4.14,4.33,Southpaw,0.39,0.53,0.1,0.17,0.97,0.6,155.0,155.0
1,4,,17,Frontline Academy,1984-03-14,Welterweight,Norway,1984-03-14,Simeon,73.0,73.0,Thoresen,Oslo,Simeon Thoresen,The Grin,The Grin,79.0,3.85,3.85,Orthodox,0.43,0.64,1.7,0.4,1.12,0.5,170.0,170.0
1,4,1.0,22,Busan Team M.A.D.,1981-11-17,Welterweight,South Korea,1981-11-17,Dong,74.0,73.0,Hyun Kim,"Busan, Yeongnam",Dong Hyun Kim,Stun Gun,Stun Gun,76.0,1.89,2.12,Southpaw,0.49,0.58,0.6,0.43,2.93,0.71,170.0,170.0
0,2,,4,,1977-07-04,Lightweight,USA,1977-11-04,Kelly,68.0,68.0,Dullanty,"San Jose, California",Kelly Dullanty,Psycho,Psycho,,0.67,0.0,Orthodox,0.0,0.75,0.0,0.0,0.0,0.66,155.0,155.0
0,4,,15,Sikjitsu,1987-12-07,Lightweight,United States,1987-12-07,Michael,73.0,73.0,Chiesa,"Spokane, Washington",Michael Chiesa,Maverick,Maverick,75.0,2.35,2.14,Southpaw,0.38,0.52,1.4,0.43,3.32,0.68,170.0,155.0
0,5,,7,Syndicate MMA,1980-08-27,Welterweight,United States,1980-08-27,Amir,70.0,71.0,Sadollah,"Richmond, Virginia",Amir Sadollah,,,74.0,3.55,4.71,Orthodox,0.46,0.6,0.3,0.27,0.57,0.6,170.0,170.0
0,4,,17,American Top Team,1988-05-30,Bantamweight,Brazil,1988-05-30,Amanda,68.0,65.0,Nunes,"Salvador, Bahia",Amanda Nunes,Lioness,Lioness,69.0,2.88,4.65,Orthodox,0.51,0.57,0.6,0.4,1.8,0.8,145.0,136.0
2,3,,9,Akimoto Dojo Jungle Junction,1989-11-16,Lightweight,Japan,1989-11-16,Yusuke,67.0,67.0,Kasuya,"Sagamihara, Kanagawa",Yusuke Kasuya,,,67.0,4.34,2.17,Southpaw,0.44,0.48,0.0,0.33,1.36,0.0,155.0,154.0
0,10,,21,Xtreme Couture,1984-08-04,Bantamweight,United States,1984-08-04,Bryan,68.0,69.0,Caraway,"Seattle, Washington",Bryan Caraway,Kid Lightning,Kid Lightning,68.0,3.61,2.53,Orthodox,0.34,0.54,0.8,0.25,2.57,0.8,135.0,135.0
0,3,,9,Cung Le's Universal Strength Headquarters,1972-05-25,Middleweight,United States,1972-05-25,Cung,69.0,70.0,Le,"San Jose, California",Cung Le,,,69.0,2.98,4.36,Southpaw,0.48,0.66,0.3,0.71,1.37,0.88,185.0,185.0
1,6,,12,Paraestra Hachioji,1987-03-04,Lightweight,Japan,1987-03-04,Kazuki,71.0,71.0,Tokudome,Tokyo,Kazuki Tokudome,,,73.0,3.63,2.26,Southpaw,0.41,0.53,0.0,0.38,2.0,0.78,155.0,154.0
0,3,1.0,8,Brazos Valley MMA,1985-07-24,Middleweight,United States,1985-07-24,Bubba,72.0,72.0,Bush,"College Station, Texas",Bubba Bush,The Fightin' Texas Aggie,The Fightin' Texas Aggie,73.0,7.01,0.63,Orthodox,0.55,0.25,0.0,0.5,2.82,0.6,185.0,185.0
0,3,,17,Serra-Longo Fight Team,1989-07-31,Bantamweight,United States,1989-07-31,Aljamain,67.0,67.0,Sterling,"Cortland, New York",Aljamain Sterling,Funk Master,Funk Master,71.0,1.45,4.18,Orthodox,0.5,0.69,0.9,0.32,2.1,0.51,135.0,135.0
0,9,,23,Brazilian Jiu-Jitsu United,1985-01-06,Flyweight,Brazil,1985-01-06,Wilson,64.0,64.0,Reis,"Januaria, Minas Gerais",Wilson Reis,,,65.0,2.95,1.86,Southpaw,0.29,0.56,0.6,0.43,5.15,0.47,125.0,125.0
0,12,,15,Twisted Genetiks,1982-09-17,Bantamweight,United States,1982-09-17,Scott,65.0,65.0,Jorgensen,"Boise, Idaho",Scott Jorgensen,Young Guns,Young Guns,66.0,3.41,3.37,Orthodox,0.4,0.65,0.7,0.45,2.61,0.59,135.0,135.0
0,3,,9,Banks MMA,1990-05-27,Flyweight,United States,1990-05-27,Geane,65.0,65.0,Herrera,"Tampa, Florida",Geane Herrera,The Revolutionary,La Pulga,66.0,5.07,1.51,Orthodox,0.31,0.52,0.6,0.37,0.83,0.38,125.0,125.0
0,11,,21,Jackson-Wink MMA,1984-09-26,Flyweight,United States,1984-09-26,John,63.0,63.0,Dodson,"Albuquerque, New Mexico",John Dodson,The Magician,The Magician,66.0,3.55,3.28,Orthodox,0.4,0.61,0.0,0.28,0.8,0.81,135.0,125.0
2,7,,14,Red Schafer MMA,1977-09-20,Middleweight,United States,1977-09-20,Eric,75.0,75.0,Schafer,"Milwaukee, Wisconsin",Eric Schafer,Red,Red,75.0,3.38,1.89,Orthodox,0.34,0.56,1.8,0.36,1.81,0.5,185.0,185.0
0,11,,36,Rothwell MMA,1981-10-17,Heavyweight,United States,1981-10-17,Ben,76.0,76.0,Rothwell,"Kenosha, Wisconsin",Ben Rothwell,,,78.0,4.0,3.06,Orthodox,0.42,0.48,0.4,0.36,0.76,0.69,265.0,263.0
0,8,,19,Adrenaline Training Center,1985-12-24,Lightweight,Canada,1985-12-24,Jesse,70.0,69.0,Ronson,"London, Ontario",Jesse Ronson,The Body Snatcher,The Body Snatcher,72.0,2.73,3.09,Southpaw,0.46,0.59,0.3,0.4,0.67,0.61,155.0,156.0
0,12,,24,Finney's MMA,1979-04-26,Welterweight,United States,1979-04-26,Bobby,72.0,72.0,Voelker,"Kansas City, Kansas",Bobby Voelker,Vicious,Vicious,75.0,5.84,4.01,Orthodox,0.35,0.42,0.0,0.5,1.04,0.66,170.0,171.0
0,7,,14,Blackzilians,1985-02-15,Middleweight,Brazil,1985-02-15,Cezar,73.0,73.0,Ferreira,"Ibitinga, Sao Paulo",Cezar Ferreira,Mutante,Mutante,78.0,2.14,1.83,Southpaw,0.42,0.55,0.5,0.59,2.97,0.9,185.0,185.0
0,10,1.0,13,Straight Rootless Fight Team,1982-12-11,Middleweight,United States,1982-11-12,Kendall,78.0,78.0,Grove,"Maui, Hawaii",Kendall Grove,Da Spyder,Da Spyder,79.0,2.4,2.31,Orthodox,0.41,0.54,1.7,0.45,0.49,0.56,185.0,185.0
0,9,,31,HB Ultimate,1979-02-28,Middleweight,England,1979-02-28,Michael,73.0,74.0,Bisping,Manchester,Michael Bisping,The Count,The Count,75.0,2.71,4.33,Orthodox,0.38,0.65,0.3,0.43,1.05,0.63,185.0,185.0
1,15,,25,Team Extreme,1974-12-06,Bantamweight,United States,1974-12-06,Jens,67.0,67.0,Pulver,"Crystal Lake, Illinois",Jens Pulver,Little Evil,Little Evil,70.0,3.13,2.12,Southpaw,0.37,0.56,0.3,0.33,0.22,0.63,145.0,135.0
0,5,,15,Minnesota Martial Arts Academy,1985-02-16,Middleweight,United States,1985-02-16,Logan,74.0,74.0,Clark,"Eyota, Minnesota",Logan Clark,,The Pink Pounder,,1.49,2.2,Orthodox,0.54,0.53,2.1,1.0,0.31,0.3,185.0,185.0
0,2,,5,MMA Development,,Welterweight,United States,1978-07-31,Anthony,68.0,70.0,Torres,"Kailua, Hawaii",Anthony Torres,The Crush,The Crush,,7.52,3.54,Orthodox,0.48,0.45,2.2,0.0,0.0,1.0,170.0,171.0
0,2,,14,Fight Ready,1987-02-09,Flyweight,United States,1987-02-09,Henry,64.0,64.0,Cejudo,"Phoenix, Arizona",Henry Cejudo,The Messenger,The Messenger,64.0,2.6,3.56,Orthodox,0.43,0.67,0.1,0.35,2.3,0.88,125.0,125.0
0,3,,12,Team Four Corners,,Middleweight,United States,1976-08-24,Floyd,72.0,71.0,Sword,"Farmington, New Mexico",Floyd Sword,,,,1.57,0.78,Orthodox,0.42,0.4,0.0,0.0,0.0,0.33,185.0,185.0
1,5,,14,Hilti NHB,1980-11-12,Featherweight,Sweden,,Per,70.0,70.0,Eklund,Stockholm,Per Eklund,,,72.0,2.38,2.07,Orthodox,0.61,0.67,3.6,0.11,2.07,0.5,155.0,145.0
0,4,,17,Xtreme Couture,1992-09-04,Lightweight,United States,1992-09-04,Kevin,69.0,69.0,Lee,"Grand Rapids, Michigan",Kevin Lee,The Motown Phenom,The Motown Phenom,77.0,3.18,4.06,Orthodox,0.43,0.52,1.0,0.43,3.1,0.8,155.0,155.0
2,22,1.0,21,Berger MMA,1973-05-20,Welterweight,United States,1973-05-20,Steve,71.0,70.0,Berger,"St. Louis, Missouri",Steve Berger,The Red Nosed Pitbull,The Red Nose Pitbull,,3.26,1.0,Orthodox,0.27,0.36,1.7,0.4,0.84,0.16,170.0,170.0
0,2,,11,MMA Factory,1992-04-08,Bantamweight,France,1992-04-08,Taylor,66.0,66.0,Lapilus,Paris,Taylor Lapilus,Double Impact,Double Impact,73.0,2.0,3.77,Southpaw,0.45,0.61,0.6,0.4,0.58,0.81,135.0,135.0
1,4,,16,Kings MMA,1989-05-06,Lightweight,United States,1989-05-06,Beneil,70.0,70.0,Dariush,"Yorba Linda, California",Beneil Dariush,,,72.0,2.68,3.91,Southpaw,0.48,0.6,0.8,0.31,1.59,0.8,155.0,155.0
0,17,2.0,27,Jackson-Wink MMA,1979-02-04,Heavyweight,Belarus,1979-02-04,Andrei,75.0,76.0,Arlovski,Minsk,Andrei Arlovski,The Pitbull,The Pit Bull,77.0,2.57,3.12,Orthodox,0.42,0.58,0.3,0.36,0.58,0.78,240.0,241.0
0,13,,24,factoryX Muay Thai,1986-11-20,Middleweight,United States,1986-11-20,Chris,74.0,75.0,Camozzi,"Englewood, Colorado",Chris Camozzi,,,76.0,2.96,3.57,Orthodox,0.44,0.56,0.5,0.19,0.27,0.57,185.0,185.0
2,10,,17,Jackson-Wink MMA,1975-10-31,Middleweight,United States,1975-10-31,Keith,74.0,74.0,Jardine,"Albuquerque, New Mexico",Keith Jardine,The Dean of Mean,The Dean of Mean,76.0,2.98,3.25,Orthodox,0.36,0.59,0.7,0.45,1.18,0.62,185.0,185.0
1,11,,57,K Dojo Warrior Tribe,1977-06-25,Heavyweight,Russia,1977-06-20,Aleksei,74.0,73.0,Oleinik,Moscow,Aleksei Oleinik,The Boa Constrictor,The Boa Constrictor,80.0,3.28,3.06,Orthodox,0.48,0.53,2.7,0.39,2.99,0.11,240.0,240.0
0,0,,8,Tristar Gym,1974-11-19,Light Heavyweight,United States,1974-11-19,Tom,74.0,74.0,Murphy,"St. Albans, Vermont",Tom Murphy,,,,0.17,2.5,Southpaw,0.71,0.84,2.5,0.85,7.51,0.0,227.0,205.0
0,8,1.0,16,CW Combat Sports,1977-06-07,Lightweight,Brazil,1977-06-07,Chris,73.0,73.0,Wilson,"Ribeirao Preto, Sao Paulo",Chris Wilson,The Professor,The Professor,75.0,1.36,2.32,Orthodox,0.5,0.55,1.6,0.5,1.31,0.6,170.0,155.0
0,15,,34,Jackson-Wink MMA,1981-12-08,Featherweight,United States,1981-12-08,Clay,67.0,67.0,Guida,"Round Lake, Illinois",Clay Guida,The Carpenter,The Carpenter,70.0,2.39,2.33,Orthodox,0.32,0.65,0.7,0.37,3.43,0.69,155.0,145.0
0,3,,9,OAMA,1985-08-14,Welterweight,Canada,1985-08-14,Mark,72.0,72.0,Holst,"Ottawa, Ontario",Mark Holst,Boots,Boots,,1.67,0.25,Orthodox,0.19,0.47,2.3,1.0,0.76,0.6,155.0,169.0
0,4,,9,,1980-05-05,Middleweight,USA,1980-05-05,Rob,73.0,,Yundt,"Wasilla, Alaska",Rob Yundt,Monster,,,2.55,1.37,Orthodox,0.41,0.31,0.0,1.0,2.94,0.0,185.0,185.0
0,3,1.0,15,American Top Team OKC,1980-10-01,Bantamweight,United States,1979-10-01,Jerrod,68.0,68.0,Sanders,"Oklahoma City, Oklahoma",Jerrod Sanders,J-Reazie,J-Reazie,72.0,1.14,0.88,Orthodox,0.64,0.46,1.6,0.33,2.2,0.5,135.0,135.0
1,7,,12,Aegis Athletics,1975-01-06,Light Heavyweight,Canada,1975-01-06,Kalib,75.0,75.0,Starnes,"Surrey, British Columbia",Kalib Starnes,,,74.0,4.43,2.71,Orthodox,0.48,0.53,0.6,0.33,1.46,0.25,185.0,205.0
0,4,,16,American Kickboxing Academy,1984-10-17,Middleweight,United States,1984-10-17,Luke,75.0,75.0,Rockhold,"San Jose, California",Luke Rockhold,,,77.0,2.32,4.29,Southpaw,0.48,0.58,1.2,0.4,0.71,0.68,185.0,185.0
1,12,,30,Prater MMA,1981-06-25,Lightweight,Brazil,1981-06-25,Carlo,71.0,72.0,Prater,"Brasilia, Federal District",Carlo Prater,Neo,Neo,72.0,4.07,2.03,Switch,0.47,0.35,1.7,0.09,0.43,0.57,155.0,155.0
0,0,1.0,6,Drysdale Jiu-Jitsu,1981-01-01,Light Heavyweight,United States,1981-10-05,Robert,75.0,75.0,Drysdale,"Las Vegas, Nevada",Robert Drysdale,,,78.0,0.0,0.0,Orthodox,0.0,0.0,21.9,1.0,7.32,0.0,205.0,205.0
0,9,,12,Syndicate MMA,1982-04-20,Welterweight,United States,1982-04-20,Bristol,73.0,73.0,Marunde,"Las Vegas, Nevada",Bristol Marunde,,,71.0,4.4,1.42,Orthodox,0.21,0.47,0.0,0.33,1.6,0.14,170.0,171.0
0,12,,31,Canadian Martial Arts Centre,1989-10-10,Welterweight,Canada,1989-10-10,Jordan,72.0,71.0,Mein,"Lethbridge, Alberta",Jordan Mein,Young Gun,Young Gun,73.0,2.55,3.35,Orthodox,0.44,0.69,0.2,0.58,1.56,0.66,170.0,170.0
1,8,,19,Team Conquest,1984-07-25,Welterweight,United States,1984-07-25,Eric,68.0,68.0,Wisely,"Clinton, Iowa",Eric Wisely,Little Lee,Little Lee,,2.08,1.42,Southpaw,0.47,0.56,0.9,0.0,0.0,0.27,145.0,160.0
0,6,,10,Champions Gym,1978-07-27,Middleweight,United States,1978-07-27,Drew,72.0,72.0,McFedries,"Bettendorf, Iowa",Drew McFedries,The Massacre,The Massacre,72.0,4.56,5.13,Southpaw,0.51,0.52,0.7,1.0,1.42,0.56,185.0,185.0
0,7,,10,Strong Style Fight Team,1968-08-02,Lightweight,United States,1968-08-02,Jeff,70.0,,Cox,"Cleveland, Ohio",Jeff Cox,The Grinder,,,1.69,0.56,Orthodox,0.25,0.33,0.0,0.5,4.23,0.8,155.0,155.0
0,5,,8,Grudge Training Center,1981-02-20,Light Heavyweight,United States,1981-02-20,Cody,75.0,75.0,Donovan,"Denver, Colorado",Cody Donovan,Donnybrook,Donnybrook,74.0,5.44,5.61,Orthodox,0.59,0.45,1.7,0.28,1.67,0.0,205.0,205.0
0,8,,7,Gamebred Combat Club,1989-02-11,Strawweight,Australia,1989-02-11,Bec,66.0,66.0,Rawlings,"Brisbane, Queensland",Bec Rawlings,Rowdy,Rowdy,64.0,5.66,4.48,Orthodox,0.42,0.57,0.4,0.4,0.71,0.68,125.0,116.0
0,7,,19,Arizona Combat Sports,1984-03-20,Flyweight,United States,1984-03-20,John,66.0,66.0,Moraga,"Phoenix, Arizona",John Moraga,Chicano,,66.0,2.55,2.57,Orthodox,0.43,0.56,1.1,0.23,0.62,0.44,125.0,125.0
1,2,,9,Caveira Team,1983-06-25,Middleweight,Brazil,1983-06-25,Marcelo,72.0,72.0,Guimaraes,"Itapemirim, Espirito Santo",Marcelo Guimaraes,Magrao,Magrao,73.0,4.41,4.67,Orthodox,0.51,0.62,0.0,0.13,1.99,0.0,185.0,185.0
