D,L,NC,W,dob,fname,height,lname,name,nick,reach,sapm,slpm,stance,str. acc,str. def,sub. avg,td acc,td avg,td def,weight
2,9,,25,1971-11-27,Homer,70.0,Moore,Homer Moore,The Rock,,0.68,0.68,Orthodox,0.5,0.0,0.0,0.66,5.07,0.0,205.0
0,3,,7,1987-06-23,Paul,66.0,Ruiz,Paul Ruiz,,,1.4,1.4,,0.33,0.75,20.9,0.0,0.0,1.0,135.0
2,1,,4,,Igor,73.0,Zinoviev,Igor Zinoviev,Houdini,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,199.0
0,10,,20,,Tetsuji,,Kato,Tetsuji Kato,,,2.1,1.2,Orthodox,0.29,0.7,0.5,0.57,2.0,0.8,155.0
0,9,,9,,Gabriel,68.0,Miglioli,Gabriel Miglioli,Biel,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,170.0
0,1,,3,1988-07-19,Tebaris,73.0,Gordon,Tebaris Gordon,Boom,78.0,49.41,3.53,Orthodox,0.16,0.22,0.0,0.0,0.0,0.0,265.0
0,8,,22,1989-07-31,Julian,73.0,Erosa,Julian Erosa,Juicy J,75.0,4.71,4.33,Southpaw,0.53,0.48,1.1,0.6,1.06,0.6,145.0
4,29,,56,1963-12-23,Adrian,68.0,Serrano,Adrian Serrano,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,170.0
0,3,,6,1977-05-19,Andre,72.0,Gusmao,Andre Gusmao,,,3.28,2.79,Orthodox,0.43,0.6,0.0,0.0,0.0,0.6,205.0
0,3,,9,1981-02-21,Chris,67.0,Kelades,Chris Kelades,The Greek Assassin,68.0,2.64,2.4,Orthodox,0.43,0.48,0.3,0.18,1.04,0.53,125.0
1,1,1.0,9,1988-08-08,Damon,71.0,Jackson,Damon Jackson,The Leech,71.0,3.9,2.71,Switch,0.35,0.43,0.0,0.2,1.77,0.6,145.0
3,9,,18,1977-04-20,Moise,70.0,Rimbon,Moise Rimbon,Swamp,,1.0,0.8,Orthodox,0.34,0.71,0.0,0.5,1.0,0.37,205.0
0,11,,13,,Rudy,71.0,Bears,Rudy Bears,,,2.53,1.27,Southpaw,0.29,0.5,0.0,0.0,0.0,0.0,170.0
0,1,,0,,Colley,67.0, Bradford,Colley  Bradford,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,145.0
3,7,,22,1987-07-06,Hans,75.0,Stringer,Hans Stringer,,73.0,2.84,3.16,Orthodox,0.61,0.41,0.0,0.36,2.4,0.62,205.0
0,3,,12,1992-02-12,Stefan,72.0,Sekulic,Stefan Sekulic,,75.0,2.4,1.47,Southpaw,0.37,0.57,0.0,0.2,1.0,0.33,170.0
1,3,,7,1983-01-21,Francisco,72.0,France,Francisco France,Kiko,,3.51,0.54,,0.33,0.27,6.1,0.0,0.0,0.0,205.0
0,3,,7,1975-05-28,Chalid,71.0,Arrab,Chalid Arrab,Die Faust,,1.63,1.56,Orthodox,0.34,0.56,1.0,0.75,3.05,0.37,205.0
0,5,1.0,7,1973-08-03,Renato,73.0,Verissimo,Renato Verissimo,Charuto,,1.87,0.92,Orthodox,0.48,0.47,2.5,0.3,1.46,0.5,170.0
1,13,,13,1975-12-19,Michihiro,66.0,Omigawa,Michihiro Omigawa,,68.0,3.06,2.01,Orthodox,0.39,0.64,1.5,0.36,1.19,0.49,145.0
1,14,1.0,13,,Mike,76.0,Seal,Mike Seal,Crazy Boy,,3.33,5.5,Orthodox,0.68,0.5,0.0,0.0,0.0,0.33,185.0
0,6,,10,1975-12-24,Samy,68.0,Schiavo,Samy Schiavo,,,2.62,1.68,Orthodox,0.34,0.38,0.9,0.5,0.94,0.66,155.0
0,2,,5,1974-08-14,Ryan,69.0,Gracie,Ryan Gracie,,,0.5,0.82,Orthodox,0.61,0.4,0.9,0.75,2.83,0.25,200.0
0,0,,10,1985-08-22,Eli,67.0,Tamez,Eli Tamez,Tomahawk,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,135.0
0,6,,13,1981-02-19,Benny,71.0,Alloway,Benny Alloway,Blanco,75.0,1.9,1.28,Orthodox,0.49,0.59,0.0,0.5,0.62,0.26,170.0
0,1,,0,1983-05-18,Kazuhisa,66.0,Watanabe,Kazuhisa Watanabe,,,0.94,0.62,,0.5,0.0,0.0,0.0,0.0,0.14,139.0
0,3,1.0,9,1975-11-25,Marcus,66.0,Hicks,Marcus Hicks,The Wrecking Ball,64.0,3.06,1.42,Southpaw,0.43,0.61,4.0,0.53,2.7,0.25,155.0
0,5,,14,1987-02-27,Misha,75.0,Cirkunov,Misha Cirkunov,,77.0,2.58,4.45,Orthodox,0.52,0.65,2.2,0.58,4.45,0.71,205.0
0,3,,6,,Maiju,,Kujala,Maiju Kujala,,,5.5,2.5,,0.4,0.36,0.0,0.0,0.0,0.5,135.0
0,12,,21,1989-07-28,Mike,70.0,Santiago,Mike Santiago,,69.0,3.58,3.44,Orthodox,0.49,0.36,1.1,0.5,2.66,0.53,145.0
0,3,,6,1982-10-20,Hayder,70.0,Hassan,Hayder Hassan,Hulk,70.0,3.16,2.11,,0.46,0.48,0.0,0.0,0.0,0.25,170.0
0,12,1.0,14,1988-06-20,Alex,70.0,Caceres,Alex Caceres,Bruce Leeroy,73.0,2.76,3.84,Southpaw,0.49,0.64,0.8,0.75,0.56,0.59,145.0
1,9,,21,1982-12-25,Rafael,72.0,Natal,Rafael Natal,Sapo,76.0,2.48,3.1,Orthodox,0.47,0.57,0.5,0.34,2.55,0.77,185.0
0,2,1.0,8,1989-04-28,Jonavin,70.0,Webb,Jonavin Webb,The Spyder,71.0,2.27,1.47,Orthodox,0.3,0.64,1.0,0.31,2.5,0.4,170.0
0,2,,9,1987-09-15,Mike,67.0,Wilkinson,Mike Wilkinson,The Warrior,68.0,3.7,2.35,,0.38,0.35,0.9,0.14,0.92,0.55,145.0
0,13,,30,1984-04-26,Carlos,74.0,Condit,Carlos Condit,The Natural Born Killer,75.0,2.34,3.56,Orthodox,0.39,0.57,1.2,0.55,0.58,0.36,170.0
0,9,,7,,Kazuki,71.0,Okubo,Kazuki Okubo,,,1.97,1.53,Orthodox,0.38,0.46,2.0,0.25,0.51,0.36,175.0
0,2,,9,1980-12-07,Vincent,71.0,Eazelle,Vincent Eazelle,The Real Deal,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,155.0
0,8,,12,1982-04-12,Joe,69.0,Wilk,Joe Wilk,The Nose,,2.0,1.0,,0.54,0.72,0.0,0.0,0.0,0.0,145.0
0,2,,9,1996-04-21,Claudio,71.0,Puelles,Claudio Puelles,El Nino,72.0,6.53,2.33,Southpaw,0.38,0.49,0.8,0.23,2.33,0.0,155.0
0,4,,2,,Andrew,,Valladerez,Andrew Valladerez,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,135.0
0,4,,1,,Tomohiko,72.0,Hashimoto,Tomohiko Hashimoto,,,11.67,0.0,Orthodox,0.0,0.3,0.0,0.0,0.0,0.0,250.0
0,4,,0,1963-01-06,Tony,75.0,Halme,Tony Halme,,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,300.0
0,6,,11,1988-08-08,Garrett,69.0,Gross,Garrett Gross,Glory to God,69.0,1.67,2.39,Orthodox,0.45,0.46,0.0,0.0,0.0,0.52,155.0
0,9,,11,1983-12-02,Billy,66.0,Vaughan,Billy Vaughan,,,1.36,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,155.0
0,5,,10,1980-08-06,Charles,70.0,McCarthy,Charles McCarthy,Chainsaw,71.0,4.03,0.18,Orthodox,0.12,0.56,2.7,0.6,2.67,0.0,185.0
1,6,,21,1989-04-12,Rick,72.0,Glenn,Rick Glenn,The Gladiator,70.0,4.29,4.31,Southpaw,0.42,0.53,0.3,0.13,0.67,0.66,145.0
0,6,,18,1987-04-21,Abel,67.0,Cullum,Abel Cullum,The Silent Assassin,,1.23,1.82,Orthodox,0.4,0.46,2.8,0.52,4.01,0.0,139.0
0,2,,4,,Rex,75.0,Holman,Rex Holman,Big Dog,,7.25,2.75,Southpaw,0.34,0.4,0.0,0.0,0.0,1.0,205.0
2,10,,19,1981-05-05,Mizuto,67.0,Hirota,Mizuto Hirota,Pugnus,67.0,3.5,3.36,Orthodox,0.4,0.54,0.1,0.5,1.36,0.58,155.0
0,2,1.0,8,1986-12-30,Wagner,72.0,Prado,Wagner Prado,Caldeirao,74.0,3.06,1.72,Southpaw,0.4,0.5,0.0,0.0,0.0,0.22,205.0
0,3,,13,1979-02-10,Nick,72.0,Ring,Nick Ring,The Promise,74.0,3.48,3.52,Southpaw,0.42,0.62,0.3,0.36,1.36,0.52,185.0
0,3,,4,1976-09-09,Craig,74.0,Zellner,Craig Zellner,Big Z,,4.65,0.61,Orthodox,0.09,0.61,0.0,0.0,0.0,0.0,205.0
0,2,,7,1988-10-17,Estefani,64.0,Almeida,Estefani Almeida,,,6.07,3.13,Orthodox,0.37,0.42,0.0,0.0,0.0,0.0,125.0
0,2,,3,,Jesse,,Gillespie,Jesse Gillespie,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,185.0
0,6,,21,1978-10-27,Sherron,68.0,Leggett,Sherron Leggett,Rob Roy,,2.08,2.86,Southpaw,0.51,0.47,0.0,0.8,5.19,0.33,155.0
0,10,,20,1979-12-17,David,72.0,Loiseau,David Loiseau,The Crow,76.0,3.64,1.59,Orthodox,0.44,0.43,0.1,0.42,0.43,0.36,185.0
1,2,,10,1989-01-07,Levan,68.0,Makashvili,Levan Makashvili,The Hornet,68.0,2.07,2.87,Orthodox,0.54,0.61,0.0,0.42,3.67,0.85,145.0
1,4,,9,,Tom,75.0,Erikson,Tom Erikson,The Big Cat,,1.87,0.94,Orthodox,0.47,0.25,6.2,0.6,4.68,1.0,280.0
1,15,1.0,16,,Eddy,69.0,Ellis,Eddy Ellis,Fast,,1.53,3.4,Orthodox,0.69,0.68,2.0,0.66,4.0,0.5,170.0
0,5,,18,1984-04-03,Brian,69.0,Foster,Brian Foster,The Foster Boy,71.0,1.63,3.3,Orthodox,0.39,0.65,1.8,0.6,3.67,0.37,170.0
2,11,,22,1983-04-13,Ben,74.0,Saunders,Ben Saunders,Killa B,77.0,3.58,3.19,Orthodox,0.5,0.51,1.0,0.4,0.22,0.68,170.0
0,6,,10,1973-05-12,Travis,71.0,Lutter,Travis Lutter,The Serial Killer,75.0,2.42,0.41,Orthodox,0.32,0.42,0.7,0.24,1.95,0.3,185.0
0,2,,0,1956-07-19,Yoshiaki,73.0,Yatsu,Yoshiaki Yatsu,,,5.57,0.0,Orthodox,0.0,0.48,0.0,0.0,0.0,0.0,165.0
0,4,,14,1981-12-19,Luke,74.0,Zachrich,Luke Zachrich,,74.0,4.46,4.56,Orthodox,0.32,0.62,0.0,0.33,0.74,0.8,185.0
0,4,,7,1988-08-17,Kiril,71.0,Sidelnikov,Kiril Sidelnikov,,,4.48,2.87,,0.28,0.61,0.0,0.0,0.0,0.0,230.0
1,8,,14,1966-07-30,Murilo,74.0,Bustamante,Murilo Bustamante,,,1.9,1.33,Orthodox,0.32,0.6,1.2,0.33,2.46,0.54,183.0
0,2,,6,1992-09-13,Elias,65.0,Garcia,Elias Garcia,,67.0,5.05,1.59,Southpaw,0.27,0.5,1.4,0.14,0.68,0.33,125.0
0,4,,7,,Trey,71.0,Houston,Trey Houston,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,185.0
1,10,2.0,18,1988-02-09,Felipe,68.0,Arantes,Felipe Arantes,Sertanejo,73.0,2.66,2.37,Orthodox,0.45,0.64,0.7,0.47,0.93,0.41,135.0
0,1,,3,1988-07-28,Greg,77.0,Hardy,Greg Hardy,Prince of War,80.0,2.07,5.63,Orthodox,0.5,0.64,0.0,0.0,0.0,0.66,265.0
0,1,,5,1987-03-11,Matt,,Ricehouse,Matt Ricehouse,,,4.8,3.7,,0.44,0.47,0.0,0.22,1.0,0.81,155.0
0,3,,6,,Helio,77.0,Dipp,Helio Dipp,,,1.8,0.6,Orthodox,0.25,0.62,0.0,0.0,0.0,0.5,185.0
0,1,,13,1994-04-01,Gustavo,66.0,Gabriel,Gustavo Gabriel,,,4.26,4.06,Orthodox,0.65,0.46,0.0,0.0,0.0,0.5,125.0
1,5,,13,1992-12-02,Marlon,68.0,Vera,Marlon Vera,Chito,70.0,3.92,3.3,Switch,0.45,0.52,1.3,0.37,0.77,0.68,135.0
1,8,1.0,9,,Waachiim,68.0,Spiritwolf,Waachiim Spiritwolf,Native Warrior,,10.0,10.0,,1.0,0.0,0.0,0.0,0.0,0.0,170.0
0,16,,16,,Jason,74.0,Godsey,Jason Godsey,,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,230.0
0,17,1.0,44,1980-05-17,Alistair,76.0,Overeem,Alistair Overeem,The Demolition Man,80.0,1.94,3.55,Orthodox,0.61,0.61,1.0,0.62,1.42,0.73,265.0
0,0,,12,1987-04-07,Michael,74.0,Page,Michael Page,Venom,,0.45,4.53,,0.76,0.77,0.0,1.0,3.4,1.0,170.0
0,2,,5,,Dimitiri,,Wanderley,Dimitiri Wanderley,,,4.31,0.92,Orthodox,0.25,0.3,0.0,0.2,1.16,0.0,205.0
0,1,,13,1992-04-05,Said,68.0,Nurmagomedov,Said Nurmagomedov,,70.0,1.95,4.69,Orthodox,0.59,0.64,0.0,0.09,0.86,1.0,135.0
2,3,,3,,Takayuki,73.0,Okada,Takayuki Okada,Giant Ochiai,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,290.0
0,5,1.0,13,1979-11-29,Costas,71.0,Philippou,Costas Philippou,,73.0,2.73,2.19,Orthodox,0.35,0.54,0.3,0.42,0.4,0.65,185.0
0,7,,16,1990-01-23,Christos,70.0,Giagos,Christos Giagos,The Spartan,71.0,1.85,2.13,Orthodox,0.32,0.54,0.3,0.4,1.93,0.41,155.0
0,4,,8,,Mike,,Zichelle,Mike Zichelle,,,0.87,0.87,,0.35,0.4,2.0,0.0,0.0,0.0,205.0
0,6,,10,1985-07-18,Mike,66.0,Joy,Mike Joy,,,1.67,0.63,Southpaw,0.32,0.45,0.0,0.0,0.0,0.0,155.0
0,7,,30,1988-10-24,Alexander,79.0,Volkov,Alexander Volkov,Drago,80.0,2.39,5.31,Orthodox,0.6,0.56,0.3,0.75,0.86,0.75,250.0
2,1,,1,1967-03-22,Andre,68.0,Pederneiras,Andre Pederneiras,,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,155.0
0,1,,12,1987-01-03,Mike,67.0,Grundy,Mike Grundy,,72.0,2.27,3.4,Orthodox,0.58,0.76,0.0,0.33,1.55,1.0,145.0
0,6,,17,1986-01-06,Michelle,63.0,Waterson,Michelle Waterson,The Karate Hottie,62.0,3.07,3.61,Orthodox,0.58,0.51,1.3,0.65,2.19,0.62,115.0
0,16,,22,1982-09-24,Roxanne,67.0,Modafferi,Roxanne Modafferi,The Happy Warrior,69.0,5.47,3.77,,0.3,0.55,0.2,0.15,1.13,0.41,125.0
1,0,,11,1987-04-29,Marina,66.0,Rodriguez,Marina Rodriguez,,65.0,3.21,6.44,Orthodox,0.54,0.57,0.0,0.5,0.45,0.66,115.0
0,11,,28,1984-10-26,Rafael,68.0,Dos Anjos,Rafael Dos Anjos,,70.0,3.32,3.62,Southpaw,0.45,0.62,0.7,0.4,1.96,0.58,170.0
0,3,,8,1986-03-09,Michael,73.0,McBride,Michael McBride,,75.0,5.85,4.08,Orthodox,0.48,0.4,1.2,0.42,1.85,0.3,155.0
0,1,,0,,Luis,,Mendoza,Luis Mendoza,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,155.0
0,9,,7,,Rodrigo,71.0,Gripp de Sousa,Rodrigo Gripp de Sousa,Riscado,,4.81,0.48,Orthodox,0.23,0.52,9.6,0.0,0.0,0.0,205.0
0,2,1.0,2,1986-03-17,Dennis,,Dombrow,Dennis Dombrow,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,145.0
0,5,,9,1974-09-25,Todd,73.0,Gouwenberg,Todd Gouwenberg,,,2.93,0.52,Orthodox,0.23,0.42,0.0,0.33,1.57,0.5,205.0
0,7,,17,1977-06-11,Lavar,76.0,Johnson,Lavar Johnson,Big,82.0,2.54,5.39,Orthodox,0.55,0.55,0.6,0.66,0.61,0.54,240.0
0,0,,7,1998-05-18,Maycee,65.0,Barber,Maycee Barber,The Future,65.0,4.03,8.03,Switch,0.63,0.47,0.0,0.3,1.54,1.0,125.0
0,9,,14,1977-01-25,Jorge,67.0,Gurgel,Jorge Gurgel,,69.0,3.62,3.37,Orthodox,0.32,0.62,0.5,0.23,0.81,0.6,155.0
1,5,1.0,14,1987-08-16,Mickael,71.0,Lebout,Mickael Lebout,Ragnar,73.0,2.98,2.6,Orthodox,0.34,0.54,0.0,0.0,0.0,0.6,155.0
0,7,,13,1976-11-08,Justin,70.0,James,Justin James,,,2.68,1.34,Orthodox,0.36,0.5,1.6,0.0,0.0,0.5,155.0
0,1,,2,1995-05-21,Kelly,69.0,Velasco,Kelly Velasco,Killer,,5.67,2.27,Orthodox,0.35,0.47,0.0,0.0,0.0,1.0,135.0
0,2,,6,1988-04-13,Justine,65.0,Kish,Justine Kish,,64.0,4.18,4.32,Orthodox,0.5,0.58,0.2,0.3,1.0,0.55,125.0
0,3,,13,,Henry,69.0,Corrales,Henry Corrales,,,5.84,4.12,,0.41,0.55,0.0,0.0,0.0,0.69,145.0
0,1,,1,,Jon,79.0,Hess,Jon Hess,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,295.0
0,26,,29,1976-08-17,Valentijn,75.0,Overeem,Valentijn Overeem,,,1.49,0.93,Orthodox,0.34,0.58,4.7,0.5,1.86,0.0,230.0
0,5,,10,,Andre,75.0,Mussi,Andre Mussi,,,10.59,0.0,Orthodox,0.0,0.35,0.0,0.0,0.0,0.0,242.0
0,10,,11,,Cal,71.0,Worsham,Cal Worsham,,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,230.0
1,3,,8,1984-11-18,DeAnna,64.0,Bennett,DeAnna Bennett,Vitamin D,68.0,3.27,3.13,,0.58,0.58,1.0,0.0,0.0,0.0,125.0
0,5,,10,1988-03-07,Toby,68.0,Misech,Toby Misech,2 Quick,,7.73,3.27,Southpaw,0.4,0.46,0.0,0.0,0.0,0.0,145.0
0,2,,7,1968-03-31,Naoya,76.0,Ogawa,Naoya Ogawa,,,1.66,2.41,Orthodox,0.42,0.47,1.2,1.0,1.25,0.66,255.0
0,5,,14,1982-11-26,Reginaldo,67.0,Vieira,Reginaldo Vieira,,65.0,2.89,3.76,,0.4,0.59,0.8,0.27,1.97,0.25,135.0
0,3,,17,1992-03-30,Johnny,77.0,Walker,Johnny Walker,,82.0,3.26,5.73,Orthodox,0.69,0.29,2.5,1.0,0.84,1.0,205.0
0,74,4.0,47,1970-09-27,Shannon,69.0,Ritch,Shannon Ritch,The Cannon,,6.0,1.0,Orthodox,1.0,0.5,0.0,0.0,0.0,0.0,190.0
0,3,,1,,Colleen,,Schneider,Colleen Schneider,,,2.5,2.17,,0.48,0.5,0.0,0.5,2.5,0.6,135.0
0,3,,4,,Alex,70.0,Higley,Alex Higley,,,1.74,0.29,,1.0,0.6,0.0,0.0,0.0,0.0,145.0
0,5,,15,1981-07-29,Matt,68.0,Grice,Matt Grice,The Real One,70.0,2.69,4.09,Orthodox,0.53,0.56,0.5,0.37,2.19,0.82,145.0
0,4,,8,1978-02-23,Ruan,74.0,Potts,Ruan Potts,Fangzz,75.0,5.92,0.85,Orthodox,0.37,0.22,2.3,0.16,0.75,0.33,247.0
0,8,,19,,Chuck,78.0,Grigsby,Chuck Grigsby,The Reverend,,3.29,0.71,Orthodox,0.16,0.46,0.0,0.0,0.0,0.66,205.0
0,5,,2,,Minoru,71.0,Toyonaga,Minoru Toyonaga,,,0.0,0.0,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,195.0
0,3,,9,1992-06-26,Hannah,61.0,Cifers,Hannah Cifers,Shockwave,63.0,6.59,4.91,Orthodox,0.48,0.46,0.0,0.0,0.0,0.8,115.0
0,3,,10,1982-04-29,Sergio,66.0,Gomez,Sergio Gomez,,,1.16,1.5,Orthodox,0.42,0.56,0.0,0.66,2.57,0.31,155.0
7,13,,33,1981-12-08,Naoyuki,68.0,Kotani,Naoyuki Kotani,,66.0,2.89,1.02,Southpaw,0.31,0.5,0.8,0.16,0.83,0.46,155.0
0,4,,10,1985-04-25,Manuel,69.0,Rodriguez,Manuel Rodriguez,Chalate,68.0,3.23,0.81,Orthodox,0.33,0.38,0.0,0.75,9.09,0.0,170.0
0,4,,5,,Ricky,68.0,Johnson,Ricky Johnson,,,6.3,1.83,Orthodox,0.25,0.36,0.0,0.0,0.0,0.0,145.0
0,2,,6,1986-09-04,Ben,74.0,Lagman,Ben Lagman,Bad News,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,185.0
0,11,,25,1986-01-15,Efrain,69.0,Escudero,Efrain Escudero,Hecho En Mexico,70.0,2.3,2.92,Orthodox,0.44,0.63,0.8,0.4,1.31,0.66,155.0
0,3,,16,1988-11-11,Lucas,72.0,Martins,Lucas Martins,Mineiro,72.0,4.14,2.87,Southpaw,0.35,0.6,0.5,0.0,0.0,0.76,145.0
0,4,,11,1984-02-09,Jake,72.0,Hecht,Jake Hecht,Hitman,76.0,2.76,3.26,Orthodox,0.47,0.56,0.0,0.37,2.04,0.4,170.0
0,5,,8,1991-07-04,Charlie,74.0,Ontiveros,Charlie Ontiveros,The American Bad Boy,,4.2,0.0,,0.0,0.26,0.0,0.0,0.0,0.0,170.0
0,29,,36,1982-10-20,Sean,68.0,Wilson,Sean Wilson,P-Town,,5.88,1.01,,0.31,0.62,0.0,0.0,0.0,0.0,145.0
0,5,,9,1982-03-15,Juliana,65.0,Lima,Juliana Lima,Ju Thai,65.0,2.11,1.94,Orthodox,0.44,0.55,0.0,0.31,1.72,0.7,115.0
1,5,1.0,15,1984-10-25,Sean,65.0,Santella,Sean Santella,Shorty Rock,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,125.0
1,13,1.0,19,1983-01-06,Johnny,70.0,Bedford,Johnny Bedford,Brutal,71.0,1.75,4.53,Orthodox,0.5,0.63,0.0,0.62,1.83,0.62,135.0
0,1,,10,1993-07-30,Devonte,69.0,Smith,Devonte Smith,King Kage,76.0,2.93,8.78,Orthodox,0.56,0.6,0.0,0.0,0.0,1.0,155.0
1,1,,4,1986-12-19,Satoshi,71.0,Ishii,Satoshi Ishii,,,1.58,1.41,Orthodox,0.36,0.63,1.6,0.52,3.47,1.0,240.0
0,13,,21,1981-01-28,Tim,72.0,Boetsch,Tim Boetsch,The Barbarian,74.0,2.9,2.93,Orthodox,0.5,0.57,0.8,0.34,1.45,0.59,185.0
0,1,,11,1986-05-12,Mark,67.0,Cherico,Mark Cherico,The Pride of Bloomfield,69.0,7.37,3.69,Orthodox,0.34,0.56,0.0,0.5,5.03,0.0,145.0
0,5,,0,1973-05-15,Yosuke,69.0,Nishijima,Yosuke Nishijima,,,5.59,1.72,Orthodox,0.37,0.56,0.0,0.0,0.0,0.0,205.0
0,15,1.0,37,1982-08-07,Edwin,73.0,DeWees,Edwin DeWees,Babyface,,6.19,1.53,Orthodox,0.33,0.39,3.3,0.66,2.18,0.0,185.0
0,2,,5,1986-04-29,Kyle,68.0,Dietz,Kyle Dietz,,,2.08,1.82,Orthodox,0.45,0.62,0.0,0.0,0.0,0.0,135.0
0,3,,4,1978-06-30,Lumumba,72.0,Sayers,Lumumba Sayers,,,2.37,2.54,,0.41,0.48,2.5,0.75,7.63,0.0,185.0
0,3,,3,,Drew,,Dimanlig,Drew Dimanlig,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,185.0
0,8,,16,1981-05-08,Jesse,73.0,Juarez,Jesse Juarez,,,2.87,1.71,Orthodox,0.48,0.52,0.0,0.33,2.69,0.5,170.0
0,2,,4,1985-06-26,Adam,74.0,Cella,Adam Cella,El Naturel,78.0,2.61,1.91,,0.42,0.51,1.3,0.75,3.92,0.5,170.0
0,1,,0,,Lee,74.0,Kwan Bum,Lee Kwan Bum,,,0.0,0.71,Orthodox,0.14,1.0,0.0,0.0,0.0,0.0,286.0
0,2,,2,1959-03-30,Gerard,77.0,Gordeau,Gerard Gordeau,,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,216.0
0,1,,1,,Carlos,72.0,Zevallos,Carlos Zevallos,,,2.28,4.36,Orthodox,0.65,0.68,0.0,0.0,0.0,1.0,205.0
0,1,,7,1983-10-16,Adam,73.0,Hunter,Adam Hunter,Warhammer,73.0,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,185.0
0,0,,5,1989-06-13,Deron,67.0,Winn,Deron Winn,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,205.0
2,12,,36,1975-08-24,Hayato,67.0,Sakurai,Hayato Sakurai,Mach,,1.94,2.45,Orthodox,0.49,0.59,0.3,0.69,1.87,0.56,168.0
0,7,,20,1982-04-17,Martin,72.0,Kampmann,Martin Kampmann,The Hitman,72.0,3.28,3.22,Orthodox,0.42,0.62,2.0,0.41,1.86,0.78,170.0
0,0,,0,,Doug,,Kay,Doug Kay,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0,5,,10,1975-02-09,Wade,75.0,Shipp,Wade Shipp,The Nightmare,,2.14,4.29,Orthodox,0.86,0.0,0.0,0.0,0.0,0.75,245.0
0,5,,17,1989-11-04,JC,69.0,Cottrell,JC Cottrell,Superstar,71.0,2.75,0.79,Orthodox,0.25,0.45,0.0,1.0,0.79,0.5,155.0
0,3,,10,1989-09-28,Salim,70.0,Touahri,Salim Touahri,Grizzly,72.0,2.63,2.3,Orthodox,0.45,0.58,0.0,0.0,0.0,0.81,170.0
0,10,,8,1978-05-15,Josh,73.0,Burns,Josh Burns,The Hammer,,5.73,2.4,,0.48,0.32,0.0,0.0,0.0,1.0,244.0
0,5,,13,1988-10-22,Alex,72.0,White,Alex White,The Spartan,71.0,2.87,3.77,Southpaw,0.42,0.62,0.6,0.5,1.05,0.72,155.0
0,3,,5,1987-06-20,Bharat,67.0,Kandare,Bharat Kandare,Daring,72.0,1.88,0.7,Orthodox,0.1,0.72,0.0,0.0,0.0,0.0,135.0
0,7,,20,1972-04-26,Dan,80.0,Christison,Dan Christison,The Sandman,,3.88,4.23,Orthodox,0.51,0.54,1.1,0.0,0.0,0.37,265.0
0,15,,14,1976-04-16,Phil,69.0,Baroni,Phil Baroni,The New York Bad Ass,72.0,3.93,2.77,Orthodox,0.45,0.4,0.5,0.47,1.46,0.6,170.0
0,8,,19,1981-02-09,Charlie,70.0,Brenneman,Charlie Brenneman,The Spaniard,72.0,1.55,1.52,Orthodox,0.56,0.46,0.0,0.42,4.23,0.72,155.0
0,4,,3,,Christophe,72.0,Leninger,Christophe Leninger,,,0.0,0.0,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,200.0
0,6,,2,1963-07-21,Paulo,89.0,Cesar Silva,Paulo Cesar Silva,Giant,,2.72,0.4,Orthodox,0.15,0.47,0.4,1.0,0.42,0.16,385.0
0,1,,0,,Asbel,70.0,Cancio,Asbel Cancio,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,225.0
0,9,,19,1972-02-28,Jorge,73.0,Rivera,Jorge Rivera,El Conquistador,73.0,2.64,3.16,Orthodox,0.48,0.54,0.1,0.5,0.84,0.63,185.0
